name,neighbourhood_cleansed,price_USD,latitude,longitude,property_group,accommodates,listing_url,bathrooms,bedrooms,license,host_since,host_response_time,host_response_rate,host_acceptance_rate,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
Vita's Hideaway,Historic Anacostia,67,38.86339,-76.98889,Private room,1,https://www.airbnb.com/rooms/3686,1,1,no information,2008-11-26,within a few hours,100%,100%,4.64,4.73,4.45,4.91,4.84,3.91,4.64,0.51
Historic Rowhouse Near Monuments,"Edgewood, Bloomingdale, Truxton Circle, Eckington",82,38.91195,-77.00456,Private room,2,https://www.airbnb.com/rooms/3943,1,1,with hosted license,2008-12-12,within an hour,100%,100%,4.85,4.89,4.92,4.94,4.91,4.59,4.76,2.74
Capitol Hill Bedroom walk to Metro,"Capitol Hill, Lincoln Park",135,38.88719,-76.99472,Private room,1,https://www.airbnb.com/rooms/4197,1.5,1,with hosted license,2008-12-12,within an hour,100%,100%,4.86,4.98,4.88,5,4.98,4.97,4.95,0.33
Bertina's  House Part One,"Eastland Gardens, Kenilworth",66,38.90585,-76.94469,Private room,2,https://www.airbnb.com/rooms/4529,1,1,Exempt,2008-12-30,N/A,N/A,N/A,4.66,4.8,4.6,4.93,4.93,4.51,4.83,0.56
Private Bath & Laundry  + Huge Lower Level Suite,"Brightwood Park, Crestwood, Petworth",66,38.95331,-77.03624,Private room,1,https://www.airbnb.com/rooms/6165,1.5,1,no information,2008-12-30,within a few hours,100%,100%,4.95,4.87,4.87,5,4.8,4.53,4.87,0.13
Lovely guest suite in a quiet but close-in neighborhood,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",69,38.91999,-77.09774,Entire Properties,2,https://www.airbnb.com/rooms/7103,1,1,no information,2009-05-18,within an hour,100%,99%,4.79,4.77,4.87,4.94,4.9,4.79,4.81,0.52
Sanctuary near Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",85,38.92622,-77.07591,Entire Properties,4,https://www.airbnb.com/rooms/11785,1,1,no information,2009-08-16,within an hour,100%,100%,4.59,4.65,4.6,4.86,4.88,4.84,4.58,2.35
Peaches & Cream near Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",52,38.92756,-77.07667,Private room,2,https://www.airbnb.com/rooms/12442,1.5,1,no information,2009-08-16,within an hour,100%,100%,4.62,4.73,4.7,4.86,4.84,4.82,4.58,0.68
Quiet Comfort near Nat'l Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",52,38.92668,-77.07686,Private room,2,https://www.airbnb.com/rooms/14218,1.5,1,no information,2009-08-16,within an hour,100%,100%,4.62,4.74,4.63,4.9,4.87,4.89,4.67,0.65
The Loft near National Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",52,38.92644,-77.07646,Private room,2,https://www.airbnb.com/rooms/17131,1.5,1,no information,2009-08-16,within an hour,100%,100%,4.65,4.57,4.74,4.77,4.85,4.76,4.65,0.62
Private 1-bed apartment-Walk to MET,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",65,38.9665,-77.00645,Entire Properties,1,https://www.airbnb.com/rooms/27682,1,1,no information,2009-09-06,within a few hours,100%,43%,5,4.6,4.8,5,5,4.2,4.4,0.06
B&B Charm - Room 301 | Walk Dupont Circle Metro,"Kalorama Heights, Adams Morgan, Lanier Heights",236,38.91766,-77.04598,Private room and breakfast,2,https://www.airbnb.com/rooms/32087,1,1,Exempt,2010-06-04,within an hour,100%,99%,4.86,4.85,4.92,5,5,4.85,4.85,0.1
"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY","Kalorama Heights, Adams Morgan, Lanier Heights",105,38.92238,-77.04709,Private room,3,https://www.airbnb.com/rooms/62122,1,2,with hosted license,2010-11-27,within an hour,100%,96%,4.86,4.85,4.63,4.87,4.9,4.94,4.87,0.96
Upscale Master Close to Everything,"Howard University, Le Droit Park, Cardozo/Shaw",99,38.91433,-77.01876,Private room,2,https://www.airbnb.com/rooms/93551,1.5,1,no information,2011-04-03,within a day,100%,38%,4.74,4.77,4.46,4.92,4.94,4.54,4.58,0.64
Upscale Private Close to Everything,"Howard University, Le Droit Park, Cardozo/Shaw",87,38.91435869686174,-77.01809903471504,Private room,2,https://www.airbnb.com/rooms/116951,1.5,1,no information,2011-04-03,within a day,100%,38%,4.68,4.73,4.42,4.86,4.84,4.55,4.49,0.53
Guest Room 3 miles to the White House,"Brightwood Park, Crestwood, Petworth",48,38.94286,-77.04417,Private room,1,https://www.airbnb.com/rooms/153545,2,1,with both hosted and unhosted license,2011-06-24,within an hour,100%,99%,4.66,4.75,4.53,4.92,4.83,4.61,4.64,0.26
~Upper North West GuestNest DC,"Takoma, Brightwood, Manor Park",60,38.96628,-77.0309,Private room,1,https://www.airbnb.com/rooms/155859,1,1,no information,2011-06-26,within an hour,100%,0%,4.87,4.84,4.81,4.92,4.96,4.71,4.87,0.82
Master en-suite in historical house near monuments,"Edgewood, Bloomingdale, Truxton Circle, Eckington",83,38.91366,-77.00803,Private room,2,https://www.airbnb.com/rooms/164069,1,1,with hosted license,2008-12-12,within an hour,100%,100%,4.87,4.89,4.9,4.93,4.89,4.49,4.73,1.48
Historic American Four Square,Historic Anacostia,95,38.86432,-76.98749,Private room,2,https://www.airbnb.com/rooms/174808,1,1,with hosted license,2011-07-18,within an hour,100%,91%,4.94,4.86,4.95,4.94,4.98,4.69,4.92,0.86
"Spare Room for Washington,DC Visit or entire house","Takoma, Brightwood, Manor Park",399,38.96165,-77.01858,Private room,1,https://www.airbnb.com/rooms/178395,1.5,1,no information,2011-07-22,N/A,N/A,N/A,4.75,NA,NA,NA,NA,NA,NA,NA
"Takoma Garden apt-Lush yard,pets ok","Takoma, Brightwood, Manor Park",125,38.96923,-77.02041,Entire Properties,3,https://www.airbnb.com/rooms/196429,1,2,no information,2011-08-11,N/A,N/A,N/A,4.2,4.4,4.2,5,5,4.6,4.2,0.04
Private room in central location.,"Edgewood, Bloomingdale, Truxton Circle, Eckington",65,38.93395,-77.01625,Private room,2,https://www.airbnb.com/rooms/198685,1.5,1,no information,2011-08-13,within a day,100%,73%,4.73,4.8,4.53,4.79,4.82,4.47,4.68,1.01
Victorian Haven - Private Basement!,"Takoma, Brightwood, Manor Park",90,38.97474,-77.01997,Entire Properties,2,https://www.airbnb.com/rooms/201116,1,1,with hosted license,2011-08-17,within a day,100%,100%,4.49,4.58,4.4,4.76,4.81,4.85,4.55,1.45
ROOM FOR RENT IN A NICE AREA OF DC,"Colonial Village, Shepherd Park, North Portal Estates",90,38.98853,-77.04441,Private room,2,https://www.airbnb.com/rooms/223203,1.5,1,with hosted license,2011-09-14,within an hour,100%,33%,4.8,4.67,4.67,4.87,4.93,4.93,4.73,0.1
Private Retreat Apt. in DC. Pets are Welcome Free!,"Brightwood Park, Crestwood, Petworth",123,38.94482,-77.04437,Entire Properties,3,https://www.airbnb.com/rooms/223922,1.5,1,with both hosted and unhosted license,2011-06-24,within an hour,100%,99%,4.75,4.75,4.75,4.95,4.9,4.77,4.73,1.33
LUXURY LIVING AT A BARGAIN,"Colonial Village, Shepherd Park, North Portal Estates",90,38.98853,-77.04441,Private room,3,https://www.airbnb.com/rooms/251611,1.5,1,with hosted license,2011-09-14,within an hour,100%,33%,5,5,4,5,5,5,5,0.02
NICE HOUSE IN A VERY NICE NEIGHBORHOOD,"Colonial Village, Shepherd Park, North Portal Estates",90,38.98853,-77.04441,Private room,2,https://www.airbnb.com/rooms/251615,1.5,1,with hosted license,2011-09-14,within an hour,100%,33%,4.83,5,4.83,5,5,4.83,4.67,0.08
